time,machine_ID,fee,category,street,latitude_machine,longitude_machine,zone,latitude_zone,longitude_zone
2023-01-31 13:07:44,,8.31,app,,,,37008,51.5417624,9.942281964363204
2023-01-31 15:40:23,,4.96,app,,,,37005,51.5312698,9.9367063
2023-01-31 15:48:59,,4.74,app,,,,37005,51.5312698,9.9367063
2023-01-31 15:58:47,,7.53,app,,,,37204,51.5406298,9.9355383
2023-01-31 16:08:00,,4.3,app,,,,37105,51.5292048,9.9330626
2023-01-31 16:15:06,,1.92,app,,,,37204,51.5406298,9.9355383
2023-01-31 16:23:04,,1.83,app,,,,37204,51.5406298,9.9355383
2023-01-31 16:30:19,,1.75,app,,,,37204,51.5406298,9.9355383
2023-01-31 16:41:42,,1.61,app,,,,37204,51.5406298,9.9355383
2023-01-31 16:48:04,,1.54,app,,,,37005,51.5312698,9.9367063
2023-01-31 16:58:12,,1.42,app,,,,37204,51.5406298,9.9355383
2023-01-31 17:17:53,,3.99,app,,,,37005,51.5312698,9.9367063
2023-01-31 17:40:27,,1.99,app,,,,37001,51.5342479,9.9365006
2023-01-31 18:28:38,,0.78,app,,,,37001,51.5342479,9.9365006
2023-01-31 18:51:55,,1.7,app,,,,37001,51.5342479,9.9365006
2023-01-31 19:11:14,,2.75,app,,,,37001,51.5342479,9.9365006
2023-01-31 22:43:11,,3.33,app,,,,37001,51.5342479,9.9365006
2023-01-31 23:47:06,,2.53,app,,,,37001,51.5342479,9.9365006
2023-02-01 00:44:25,,2.61,app,,,,37001,51.5342479,9.9365006
2023-02-01 04:01:58,334.0,3.6,machine,Nikolausberger Weg 2,51.5400254,9.9429721,37008,51.5417624,9.942281964363204
2023-02-01 04:14:33,332.0,3.0,machine,Humboldtallee 5,51.54007405,9.941649252146028,37008,51.5417624,9.942281964363204
2023-02-01 04:34:04,302.0,4.0,machine,Zimmermannstraße 6,51.5532618,9.9422636,37010,51.5536032,9.942337832034797
2023-02-01 05:02:39,332.0,3.0,machine,Humboldtallee 5,51.54007405,9.941649252146028,37008,51.5417624,9.942281964363204
2023-02-01 05:07:01,43.0,6.0,machine,Lange-Geismar-Straße,51.5316954,9.9367375,37001,51.5342479,9.9365006
2023-02-01 05:21:19,,4.99,app,,,,37204,51.5406298,9.9355383
2023-02-01 05:23:23,331.0,2.8,machine,Humboldtallee 4,51.5402503,9.942281964363204,37008,51.5417624,9.942281964363204
2023-02-01 05:29:42,20.0,4.0,machine,Hospitalstraße / Kurze Straße,51.5303067,9.9362637,37001,51.5342479,9.9365006
2023-02-01 05:35:10,,4.05,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 05:35:16,27.0,5.0,machine,Albanikirchhof,51.5319213,9.942705047279144,37001,51.5342479,9.9365006
2023-02-01 05:40:49,,3.95,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 05:43:06,,3.61,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 05:44:32,331.0,4.2,machine,Humboldtallee 4,51.5402503,9.942281964363204,37008,51.5417624,9.942281964363204
2023-02-01 05:46:56,5.0,1.0,machine,Prinzenstraße,51.5344067,9.9324191,37001,51.5342479,9.9365006
2023-02-01 05:48:37,,2.8,app,,,,37005,51.5312698,9.9367063
2023-02-01 05:49:36,15.0,2.0,machine,Theaterstraße,51.535156650000005,9.938049098445322,37001,51.5342479,9.9365006
2023-02-01 05:57:25,,6.0,app,,,,37001,51.5342479,9.9365006
2023-02-01 06:07:25,330.0,3.0,machine,Humboldtallee 3,51.5417624,9.9400325,37008,51.5417624,9.942281964363204
2023-02-01 06:31:45,362.0,3.0,machine,Von - Siebold- Straße 3,51.54566525,9.942838399015274,37008,51.5417624,9.942281964363204
2023-02-01 06:39:13,,4.31,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 06:43:56,,0.6,app,,,,37203,51.5281644,9.940556700074945
2023-02-01 06:44:27,30.0,2.5,machine,Rathaus - Tiefgarage (S),51.5281644,9.940556700074945,37203,51.5281644,9.940556700074945
2023-02-01 06:50:51,,4.19,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 06:53:27,,1.09,app,,,,37001,51.5342479,9.9365006
2023-02-01 06:55:39,73.0,2.0,machine,Bunsenstraße,51.52703015,9.929568271256684,37005,51.5312698,9.9367063
2023-02-01 07:01:25,,4.24,app,,,,37001,51.5342479,9.9365006
2023-02-01 07:04:41,362.0,4.2,machine,Von - Siebold- Straße 3,51.54566525,9.942838399015274,37008,51.5417624,9.942281964363204
2023-02-01 07:05:28,334.0,4.0,machine,Nikolausberger Weg 2,51.5400254,9.9429721,37008,51.5417624,9.942281964363204
2023-02-01 07:08:59,335.0,1.0,machine,Nikolausberger Weg 3,51.5385621,9.9348504,37008,51.5417624,9.942281964363204
2023-02-01 07:09:24,353.0,2.0,machine,Waldweg 4,51.5412485,9.9445886,37009,51.5412485,9.94429383803184
2023-02-01 07:12:03,,4.78,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 07:13:38,336.0,2.0,machine,Nikolausberger Weg 4,51.5409893,9.945025,37008,51.5417624,9.942281964363204
2023-02-01 07:13:40,351.0,3.2,machine,Waldweg 2,51.5412076,9.9446083,37009,51.5412485,9.94429383803184
2023-02-01 07:14:04,301.0,1.0,machine,Am Papenberg 2,51.5544798,9.94621373093054,37010,51.5536032,9.942337832034797
2023-02-01 07:14:42,,3.78,app,,,,37204,51.5406298,9.9355383
2023-02-01 07:15:20,30.0,2.0,machine,Rathaus - Tiefgarage (S),51.5281644,9.940556700074945,37203,51.5281644,9.940556700074945
2023-02-01 07:15:47,,0.0,app,,,,37108,51.53673295,9.928201242661054
2023-02-01 07:17:15,244.0,1.0,machine,Wilhelm-Weber-Straße,51.5386917,9.9400539,37005,51.5312698,9.9367063
2023-02-01 07:18:44,,0.0,app,,,,37001,51.5342479,9.9365006
2023-02-01 07:22:10,25.0,2.0,machine,Papendiek / Johannisstraße,51.5331539,9.9315239,37001,51.5342479,9.9365006
2023-02-01 07:22:58,,3.35,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:23:31,354.0,1.0,machine,Waldweg 5,51.5415484,9.9438339,37009,51.5412485,9.94429383803184
2023-02-01 07:24:01,,0.5,app,,,,37005,51.5312698,9.9367063
2023-02-01 07:25:31,16.0,2.0,machine,Reitstallstraße,51.5366345,9.9324646,37104,51.5366345,9.9324646
2023-02-01 07:25:31,362.0,1.5,machine,Von - Siebold- Straße 3,51.54566525,9.942838399015274,37008,51.5417624,9.942281964363204
2023-02-01 07:26:00,,4.43,app,,,,37204,51.5406298,9.9355383
2023-02-01 07:26:08,335.0,1.0,machine,Nikolausberger Weg 3,51.5385621,9.9348504,37008,51.5417624,9.942281964363204
2023-02-01 07:27:56,321.0,2.5,machine,Christophorusweg,51.5491129,9.9364288,37005,51.5312698,9.9367063
2023-02-01 07:29:27,9.0,1.4,machine,Groner-Tor-Straße,51.5331039,9.9268174,37001,51.5342479,9.9365006
2023-02-01 07:29:46,,4.0,app,,,,37010,51.5536032,9.942337832034797
2023-02-01 07:30:31,,5.73,app,,,,37101,51.5295419,9.9399561
2023-02-01 07:30:59,,4.2,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:32:01,,3.17,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:32:07,,3.51,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 07:32:35,354.0,0.5,machine,Waldweg 5,51.5415484,9.9438339,37009,51.5412485,9.94429383803184
2023-02-01 07:32:45,,4.2,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:32:51,97.0,1.0,machine,Bahnhof-Ost,51.53673295,9.928201242661054,37108,51.53673295,9.928201242661054
2023-02-01 07:33:01,9.0,1.0,machine,Groner-Tor-Straße,51.5331039,9.9268174,37001,51.5342479,9.9365006
2023-02-01 07:33:05,,4.98,app,,,,37001,51.5342479,9.9365006
2023-02-01 07:33:28,,0.74,app,,,,37005,51.5312698,9.9367063
2023-02-01 07:34:25,69.0,2.3,machine,Böttingerstraße,51.52703015,9.929568271256684,37005,51.5312698,9.9367063
2023-02-01 07:34:27,,0.85,app,,,,37005,51.5312698,9.9367063
2023-02-01 07:35:25,,2.37,app,,,,37204,51.5406298,9.9355383
2023-02-01 07:35:50,213.0,1.4,machine,Wöhlerstraße,51.5377498,9.9414317,37005,51.5312698,9.9367063
2023-02-01 07:36:15,,0.68,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:36:31,352.0,1.3,machine,Waldweg 3,51.5412566125,9.94429383803184,37009,51.5412485,9.94429383803184
2023-02-01 07:36:46,,2.91,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:37:36,,1.31,app,,,,37009,51.5412485,9.94429383803184
2023-02-01 07:38:06,13.0,2.0,machine,Friedrichstraße / Obere Karspüle,51.5356716,9.9388529,37001,51.5342479,9.9365006
2023-02-01 07:38:40,,5.05,app,,,,37204,51.5406298,9.9355383
2023-02-01 07:38:52,8.0,2.3,machine,Am Theater,51.5353726,9.9412661,37001,51.5342479,9.9365006
2023-02-01 07:39:05,19.0,1.0,machine,Goethe-Allee / Papendiek,51.5345258,9.9316258,37001,51.5342479,9.9365006
2023-02-01 07:39:09,1.0,1.2,machine,Am Geismar Tor,51.5295419,9.9399561,37101,51.5295419,9.9399561
2023-02-01 07:39:21,,1.51,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:40:39,,5.92,app,,,,37101,51.5295419,9.9399561
2023-02-01 07:40:52,,4.2,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:41:10,353.0,6.0,machine,Waldweg 4,51.5412485,9.9445886,37009,51.5412485,9.94429383803184
2023-02-01 07:41:14,1.0,2.0,machine,Am Geismar Tor,51.5295419,9.9399561,37101,51.5295419,9.9399561
2023-02-01 07:41:47,,3.16,app,,,,37008,51.5417624,9.942281964363204
2023-02-01 07:42:09,53.0,1.0,machine,Platz der Göttinger Sieben,51.5406298,9.9355383,37204,51.5406298,9.9355383
