Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
6_Exercise.zip;12325;Dominik;Becker;26;"10.06.2024 09:42";6_Exercise.zip
09_Inferential_Statistics.pdf;11002704;Fabian;Sinz;65;"08.06.2024 21:26";09_Inferential_Statistics.pdf
