Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
uebungsblatt.cls;7142;Timo;Specht;107;"23.04.2024 13:33";uebungsblatt.cls
uebungsblatt.sty;12255;Timo;Specht;98;"23.04.2024 13:33";uebungsblatt.sty
